"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"A1",2017,11551,"Manual",23078,"Petrol",145,57.6,1.4
"Q3",2014,15490,"Manual",49268,"Petrol",235,38.7,2
"A6",2019,39991,"Automatic",11000,"Diesel",145,47.9,2
"Mokka X",2017,12990,"Manual",16000,"Diesel",125,60.1,1.6
"Yaris",2019,12621,"Manual",9922,"Petrol",150,47.9,1.5
"Q3",2020,31990,"Manual",2100,"Petrol",145,39.8,1.5
"Land Cruiser",2014,25490,"Automatic",54000,"Diesel",325,34.9,3
"A3",2019,23490,"Semi-Auto",6564,"Petrol",145,42.2,1.5
"C-HR",2020,26980,"Automatic",2448,"Hybrid",140,57.7,1.8
"Auris",2018,15450,"Automatic",8690,"Hybrid",135,68.8,1.8
"Q3",2015,14791,"Semi-Auto",49652,"Diesel",150,54.3,2
"Astra",2016,10367,"Automatic",34156,"Petrol",125,50.4,1.4
"Insignia",2017,8500,"Automatic",64809,"Diesel",125,57.6,1.6
"Insignia",2019,12491,"Manual",20174,"Petrol",145,47.1,1.5
"A6",2016,16600,"Automatic",43307,"Diesel",125,57.6,2
"Q8",2020,62900,"Semi-Auto",768,"Diesel",145,32.8,3
"Corolla",2019,24295,"Automatic",6568,"Hybrid",135,72.4,2
"Adam",2015,6795,"Manual",74519,"Petrol",125,53.3,1.4
"Superb",2018,15498,"Semi-Auto",19455,"Petrol",145,54.3,1.4
"Mokka X",2019,13846,"Automatic",17149,"Petrol",145,37.2,1.4
"Scala",2019,15999,"Manual",4538,"Petrol",150,49.6,1
"Astra",2017,11199,"Manual",13881,"Diesel",20,72.4,1.6
"Corsa",2014,5000,"Manual",29493,"Petrol",125,51.4,1.2
"Octavia",2015,11795,"Semi-Auto",32000,"Petrol",30,56.5,1.4
"Q3",2017,15000,"Automatic",85340,"Diesel",160,50.4,2
"Corsa",2013,4500,"Manual",68672,"Petrol",125,51.4,1.4
"Mokka",2016,7450,"Manual",48293,"Diesel",30,65.7,1.6
"Grandland X",2018,16195,"Automatic",16669,"Diesel",145,65.7,1.6
"RAV4",2016,14998,"Manual",40054,"Diesel",125,60.1,2
"Mokka X",2018,12500,"Manual",12172,"Petrol",145,47.1,1.4
"Astra",2020,16850,"Manual",20,"Petrol",145,54.3,1.2
"Astra",2020,16890,"Manual",10,"Petrol",150,54.3,1.2
"RAV4",2017,20750,"Automatic",25596,"Hybrid",20,57.6,2.5
"Adam",2018,8799,"Manual",27704,"Petrol",145,53.3,1.2
"Yeti Outdoor",2017,11690,"Manual",49000,"Diesel",150,62.8,2
"Fabia",2017,12995,"Semi-Auto",10465,"Petrol",20,60.1,1.2
"Q3",2019,27950,"Semi-Auto",1701,"Diesel",150,48.7,2
"Aygo",2018,8498,"Manual",10498,"Petrol",145,68.9,1
"Mokka X",2018,11498,"Manual",25859,"Petrol",145,47.1,1.4
"Aygo",2017,7695,"Manual",10262,"Petrol",0,69,1
"Octavia",2016,11295,"Semi-Auto",18004,"Diesel",0,76.4,1.6
"Grandland X",2018,16499,"Automatic",13562,"Petrol",145,54.3,1.2
"Karoq",2018,17491,"Manual",10969,"Petrol",150,52.3,1.5
"Yaris",2017,9995,"Manual",22777,"Petrol",145,58.9,1.5
"Mokka X",2017,13499,"Automatic",3174,"Petrol",145,43.5,1.4
"Corsa",2016,5900,"Manual",35000,"Petrol",30,55.4,1.4
"A3",2016,15492,"Manual",29706,"Petrol",30,57.6,1.4
"Q5",2014,18995,"Manual",16675,"Diesel",200,47.9,2
"Fabia",2019,11798,"Manual",4802,"Petrol",145,61.4,1
"C-HR",2019,21491,"Manual",2075,"Petrol",145,41.5,1.2
"A1",2016,12690,"Manual",13742,"Petrol",30,55.4,1.4
"Citigo",2017,6995,"Manual",14326,"Petrol",145,64.2,1
"Zafira",2017,10994,"Manual",34400,"Petrol",200,42.2,1.4
"Q3",2019,24300,"Automatic",3500,"Diesel",145,48.7,2
"Astra",2016,9998,"Manual",26105,"Petrol",125,51.4,1.4
"Viva",2016,6295,"Manual",27923,"Petrol",20,62.8,1
"Mokka X",2016,10999,"Manual",19241,"Petrol",200,42.2,1.6
"Zafira",2017,12999,"Manual",23243,"Petrol",145,41.5,1.4
"Insignia",2016,7490,"Manual",47000,"Diesel",0,74.3,1.6
"A3",2016,16895,"Manual",12512,"Petrol",20,60.1,1.4
"A3",2015,9391,"Manual",73567,"Diesel",0,54.2424237219911,1.6
"Q5",2016,23695,"Semi-Auto",14618,"Diesel",200,47.1,2
"Q5",2014,18450,"Automatic",37113,"Diesel",200,47.1,2
"A1",2013,10379,"Semi-Auto",22089,"Petrol",125,53.3,1.4
"Fabia",2019,12290,"Automatic",14104,"Petrol",145,60.1,1
"A1",2016,12798,"Manual",19512,"Petrol",0,67.3,1
"Corsa",2014,6334,"Manual",30836,"Petrol",125,51.4,1.2
"Crossland X",2019,13990,"Manual",3547,"Petrol",145,47.1,1.2
"Q2",2019,22990,"Semi-Auto",10229,"Petrol",145,40.9,1.5
"Astra",2017,10000,"Manual",30351,"Petrol",125,51.4,1.4
"Corsa",2015,8295,"Manual",13878,"Petrol",30,55.4,1.4
"A6",2020,38500,"Automatic",3000,"Petrol",145,34,2
"Corsa",2017,8399,"Manual",19841,"Petrol",145,55.4,1.4
"Auris",2017,11990,"Manual",4653,"Petrol",145,58.9,1.2
"Crossland X",2019,14000,"Manual",11741,"Diesel",150,60.1,1.5
"Mokka",2016,8499,"Manual",27700,"Petrol",200,40.9,1.6
"Adam",2017,7490,"Manual",32000,"Petrol",150,53.3,1.2
"Octavia",2018,13750,"Manual",21000,"Petrol",145,58.9,1
"Q7",2016,28371,"Semi-Auto",61411,"Diesel",205,47.9,3
"A3",2017,17970,"Manual",14815,"Petrol",150,54.3,1.5
"Corsa",2016,6385,"Manual",13430,"Petrol",30,55.4,1.4
"A6",2016,20500,"Automatic",26704,"Diesel",30,61.4,2
"Zafira",2016,10810,"Manual",19731,"Petrol",200,42.2,1.4
"RAV4",2016,21192,"Automatic",24281,"Hybrid",20,55.4,2.5
"Yaris",2017,10995,"Automatic",24100,"Hybrid",0,86,1.5
"Corsa",2007,1499,"Manual",96468,"Petrol",165,45.6,1.4
"Crossland X",2019,12299,"Manual",14231,"Petrol",145,44.8,1.2
"A3",2015,10385,"Manual",68428,"Diesel",0,83.1,1.6
"A6",2015,18998,"Semi-Auto",44000,"Diesel",145,54.3,3
"Grandland X",2018,14499,"Manual",10794,"Diesel",145,70.6,1.6
"Q3",2020,32444,"Automatic",1500,"Petrol",145,31.4,0
"C-HR",2019,23995,"Automatic",10880,"Hybrid",135,74.3,1.8
"Insignia",2019,16690,"Manual",50,"Petrol",145,44.8,1.5
"Fabia",2020,13430,"Manual",985,"Petrol",145,50.4,1
"A3",2016,9800,"Manual",67537,"Diesel",0,74.3,1.6
"Mokka",2017,11000,"Manual",10226,"Petrol",145,47.1,1.4
"Corsa",2015,6698,"Manual",9832,"Petrol",30,55.4,1.4
"Zafira",2016,10995,"Manual",12532,"Petrol",200,42.2,1.4
"Viva",2017,6070,"Manual",18050,"Petrol",20,62.8,1
"Astra",2020,15295,"Manual",20,"Petrol",145,54.3,1.2
"Fabia",2020,13299,"Manual",100,"Petrol",145,51.4,1
"Mokka X",2019,14730,"Manual",7470,"Petrol",145,39.2,1.4
"A3",2017,21450,"Automatic",19250,"Petrol",145,56.5,1.5
"Mokka",2015,8990,"Manual",12000,"Petrol",200,40.9,1.6
"A1",2017,12230,"Manual",39999,"Petrol",145,58.9,1.4
"Astra",2005,695,"Manual",150000,"Diesel",150,57.7,1.7
"Auris",2017,11990,"Automatic",42136,"Hybrid",0,72.4,1.8
"Mokka X",2019,16295,"Manual",9225,"Petrol",145,39.2,1.4
"Fabia",2019,8999,"Manual",8921,"Petrol",150,57.7,1
"Astra",2020,14875,"Manual",10,"Petrol",150,54.3,1.2
"Yeti",2016,13495,"Automatic",19100,"Petrol",125,51.4,1.2
"Viva",2019,7795,"Manual",9832,"Petrol",145,46.3,1
"Fabia",2019,10995,"Manual",12592,"Petrol",150,61.4,1
"Astra",2017,11998,"Manual",9316,"Petrol",145,51.4,1.4
"A1",2017,12495,"Manual",25220,"Petrol",30,55.4,1.4
"Astra",2017,9420,"Manual",24509,"Petrol",125,51.4,1.4
"A3",2015,11992,"Manual",57841,"Petrol",30,57.6,1.4
"Aygo",2017,7299,"Manual",48238,"Petrol",0,68.9,1
"Avensis",2015,9998,"Manual",19363,"Diesel",20,67.3,1.6
"Yaris",2014,8990,"Automatic",32851,"Petrol",125,53.3,1.3
"Insignia",2019,15498,"Manual",26499,"Diesel",145,49.6,2
"Mokka",2015,8698,"Manual",30466,"Petrol",160,44.8,1.4
"A4",2014,12470,"Manual",40276,"Diesel",30,62.8,2
"A3",2016,13000,"Automatic",16948,"Diesel",20,70.6,1.6
"Q5",2019,31490,"Automatic",5000,"Diesel",145,39.2,2
"Astra",2018,11599,"Manual",10800,"Petrol",145,51.4,1.4
"Astra",2013,11980,"Manual",23603,"Petrol",300,34.9,2
"Zafira",2015,8950,"Automatic",30130,"Diesel",200,46.3,2
"Q3",2018,22470,"Manual",19097,"Petrol",145,49.6,1.4
"Yeti Outdoor",2017,12998,"Semi-Auto",18694,"Petrol",125,51.4,1.2
"Aygo",2019,12240,"Manual",2614,"Petrol",145,56.5,1
"A6",2016,24200,"Semi-Auto",40811,"Diesel",165,50.4,3
"A3",2019,31450,"Semi-Auto",5069,"Petrol",145,34.9,2
"A1",2017,14380,"Semi-Auto",23191.7500335579,"Petrol",150,57.6,1.4
"Mokka",2014,7650,"Manual",28774,"Petrol",200,43.5,1.6
"A4",2019,25990,"Automatic",750,"Diesel",145,51.4,2
"Aygo",2016,7950,"Manual",21054,"Petrol",0,69,1
"Adam",2018,9995,"Manual",16092,"Petrol",145,44.8,1.2
"Fabia",2018,10900,"Manual",8500,"Petrol",150,64.2,1
"Mokka X",2017,11491,"Manual",16355,"Petrol",145,47.1,1.4
"Q5",2016,23499,"Automatic",46919,"Diesel",235,42.8,3
"Q2",2018,18491,"Manual",16800,"Petrol",150,52.3,1.4
"Prius",2015,21790,"Automatic",28254,"Other",10,64.2,1.8
"Crossland X",2018,13499,"Manual",16577,"Petrol",145,57.7,1.2
"Superb",2019,25995,"Automatic",10,"Petrol",145,38.2,2
"Mokka X",2017,9450,"Manual",24706,"Petrol",200,42.2,1.6
"Corsa",2010,3795,"Manual",65440,"Petrol",125,51.4,1.4
"A1",2018,17499,"Automatic",8506,"Petrol",145,55.4,1.4
"Urban Cruiser",2011,4985,"Manual",36154,"Petrol",125,50.4,1.3
"C-HR",2019,22795,"Automatic",9045,"Hybrid",135,74.3,1.8
"A5",2016,17500,"Semi-Auto",19588,"Diesel",125,58.9,2
"Fabia",2015,10495,"Semi-Auto",31727,"Petrol",20,58.9,1.2
"Mokka X",2019,13620,"Manual",15586,"Petrol",145,39.2,1.4
"Yaris",2017,9995,"Manual",30778,"Petrol",145,56.5,1.5
"Kodiaq",2018,22500,"Manual",8685,"Petrol",145,40.9,1.4
"A1",2017,10700,"Manual",59973,"Petrol",145,67.3,1
"Adam",2017,8495,"Manual",41000,"Petrol",30,57.6,1
"A3",2018,19995,"Semi-Auto",8982,"Petrol",145,56.5,1.5
"Mokka X",2017,13695,"Semi-Auto",14400,"Petrol",160,43.5,1.4
"Octavia",2018,12995,"Manual",22147,"Diesel",145,68.9,1.6
"Insignia",2015,7497,"Automatic",46495,"Diesel",145,53.3,2
"Corsa",2019,8900,"Manual",22831,"Petrol",150,43.5,1.4
"Aygo",2017,7100,"Manual",21010,"Petrol",0,68.9,1
"Q7",2019,65290,"Semi-Auto",9740,"Diesel",145,30.1,4
"Yaris",2013,8999,"Automatic",47151,"Hybrid",0,76.3,1.5
"Grandland X",2018,14499,"Manual",17497,"Diesel",145,70.6,1.6
"Fabia",2017,10495,"Manual",34213,"Petrol",150,64.2,1
"Corsa",2018,6695,"Manual",9293,"Petrol",145,55.4,1.4
"Octavia",2019,16890,"Automatic",2636,"Diesel",145,70.6,1.6
"Insignia",2017,13998,"Manual",11812,"Petrol",145,47.1,1.5
"Corsa",2018,11299,"Automatic",6000,"Petrol",145,39.8,1.4
"Yaris",2017,12998,"Automatic",7768,"Hybrid",140,76.3,1.5
"Q7",2014,25042,"Semi-Auto",43700,"Diesel",300,54.2424237219911,3
"Adam",2015,6620,"Manual",24698,"Petrol",125,53.3,1.2
"Superb",2019,26495,"Automatic",100,"Petrol",145,38.2,2
"A1",2020,20995,"Semi-Auto",2420,"Petrol",145,44.8,1.5
"Corolla",2019,23495,"Manual",5600,"Petrol",145,39.2,1.2
"Astra",2015,6691,"Manual",58648,"Diesel",125,60.1,2
"Corsa",2016,7500,"Manual",11405,"Petrol",125,54.3,1.4
"Yeti Outdoor",2015,12890,"Manual",48378,"Petrol",160,44.8,1.4
"Insignia",2017,9000,"Manual",30602,"Diesel",150,68.9,1.6
"Q3",2017,17800,"Manual",14707,"Petrol",125,51.4,1.4
"PROACE VERSO",2019,27990,"Automatic",5633,"Diesel",145,38.7,2
"Yaris",2016,7998,"Manual",30233,"Petrol",30,58,1.3
"Astra",2016,9998,"Manual",15567,"Petrol",125,51.4,1.4
"C-HR",2018,22975,"Automatic",7910,"Hybrid",140,74.3,1.8
"A3",2015,15400,"Manual",33802,"Diesel",20,67.3,2
"Aygo",2016,7440,"Semi-Auto",15999,"Petrol",0,67,1
"A3",2016,20990,"Semi-Auto",29012,"Petrol",30,55.4,1.4
"Kodiaq",2019,25995,"Manual",2651,"Diesel",145,52.3,2
"A3",2019,24490,"Semi-Auto",8877,"Petrol",150,42.2,1.5
"Q7",2019,45990,"Automatic",6331,"Diesel",145,33.2,3
"A1",2019,22450,"Automatic",6481,"Petrol",150,40.9,2
"Mokka",2016,9250,"Manual",25133,"Diesel",20,68.9,1.6
"A8",2018,34000,"Semi-Auto",12285,"Diesel",145,50.4,3
"Yaris",2019,11995,"Manual",10492,"Petrol",145,47.9,1.5
"Mokka X",2017,12200,"Manual",29132,"Petrol",145,47.1,1.4
"Q3",2013,8750,"Manual",67727,"Diesel",145,54.3,2
"Yaris",2019,11895,"Manual",9034,"Petrol",145,47.9,1.5
"Astra",2019,15777,"Manual",22,"Petrol",145,48.7,1
"Aygo",2017,7495,"Manual",27422,"Petrol",145,68.9,1
"A4",2017,15950,"Manual",18300,"Diesel",145,74.3,2
"Corsa",2007,2495,"Manual",60241,"Petrol",160,45.6,1.4
"Aygo",2018,8412,"Manual",18000,"Petrol",145,68.9,1
"RAV4",2013,12495,"Automatic",30524,"Diesel",260,42.2,2.2
"Mokka X",2017,10390,"Manual",19946,"Petrol",145,47.1,1.4
"Superb",2017,19700,"Semi-Auto",17989,"Diesel",145,60.1,2
"Octavia",2018,12495,"Manual",14370,"Petrol",145,60.1,1
"A5",2016,17950,"Semi-Auto",31661,"Diesel",125,58.9,2
"Q2",2018,21495,"Manual",27198,"Petrol",145,50.4,1.4
"Astra",2015,6995,"Manual",46200,"Petrol",205,43.5,1.6
"Q3",2019,28000,"Semi-Auto",5820,"Diesel",145,47.1,2
"A3",2017,17250,"Manual",41293,"Diesel",20,65.7,2
"Avensis",2016,7395,"Manual",86021,"Diesel",20,67.3,1.6
"A6",2020,35000,"Semi-Auto",3999,"Diesel",145,47.1,2
"Yaris",2013,7499,"Semi-Auto",19220,"Petrol",125,53.3,1.3
"Kodiaq",2020,32090,"Automatic",6637,"Diesel",150,39.2,2
"Corsa",2019,9994,"Manual",9002,"Petrol",145,43.5,1.4
"Corsa",2017,8999,"Manual",5185,"Petrol",145,54.3,1.4
"Astra",2016,9450,"Manual",27547,"Diesel",20,72.4,1.6
"Superb",2019,18580,"Semi-Auto",1000,"Diesel",145,50.4,1.6
"Insignia",2016,6498,"Manual",65973,"Diesel",0,74.3,1.6
"A3",2017,14451,"Manual",29891,"Petrol",20,61.4,1.4
"Q3",2018,21995,"Semi-Auto",43000,"Diesel",150,53.3,2
"Mokka X",2017,10410,"Manual",20193,"Petrol",200,42.2,1.6
"Mokka X",2018,14994,"Manual",7450,"Petrol",145,39.2,1.4
"Mokka X",2017,11399,"Semi-Auto",36000,"Petrol",150,43.5,1.4
"Octavia",2019,13799,"Semi-Auto",14239,"Petrol",145,61.4,1
"Mokka X",2018,12895,"Manual",25644,"Petrol",150,39.2,1.4
"Mokka",2015,7998,"Manual",51328,"Diesel",30,65.7,1.6
"A4",2018,17495,"Semi-Auto",9296,"Petrol",150,53.3,1.4
"Yeti",2016,13000,"Semi-Auto",16784,"Petrol",125,51.4,1.2
"Grandland X",2019,16498,"Automatic",17530,"Petrol",145,43.5,1.2
"A6",2018,26850,"Automatic",17703,"Diesel",150,50.4,2
"Yaris",2017,8490,"Manual",31154,"Petrol",30,58,1.3
"Corsa",2017,7499,"Manual",31637,"Petrol",30,55.4,1.4
"Yeti Outdoor",2016,11759,"Manual",28711,"Diesel",30,62.8,2
"C-HR",2017,19950,"Automatic",25984,"Hybrid",140,74.3,1.8
"Corsa",2015,6926,"Manual",32127,"Petrol",30,55.4,1.4
"Q7",2019,45990,"Semi-Auto",6000,"Diesel",145,33.2,3
"Octavia",2017,10995,"Manual",24990,"Petrol",30,55.4,1.4
"Astra",2019,12498,"Manual",19705,"Petrol",145,51.4,1.4
"Q2",2019,22850,"Manual",3635,"Petrol",145,54.2424237219911,1.5
"Yaris",2017,12882,"Automatic",18416,"Hybrid",0,86,1.5
"A1",2016,11000,"Manual",29526,"Petrol",0,67.3,1
"Q2",2018,17495,"Manual",23813,"Petrol",145,55.4,1
"Q2",2019,25250,"Manual",2683,"Petrol",145,43.5,1.5
"Prius",2017,17498,"Automatic",21824,"Hybrid",0,94.1,1.8
"A4",2016,13500,"Manual",76890,"Diesel",30,67.3,2
"Astra",2016,8498,"Manual",35175,"Petrol",125,51.4,1.4
"Astra",2018,11500,"Manual",22647,"Petrol",145,46.3,1.4
"Fabia",2019,12895,"Manual",4432,"Petrol",150,60.1,1
"Astra",2017,9499,"Manual",26388,"Petrol",145,51.4,1.4
"Yaris",2017,10999,"Automatic",9589,"Petrol",145,60.1,1.5
"Zafira",2017,11394,"Manual",17793,"Petrol",200,41.5,1.4
"A3",2018,19100,"Manual",11396,"Petrol",145,42.2,1.5
"Octavia",2019,16256,"Manual",6585,"Petrol",150,50.4,1.5
"Viva",2017,5990,"Manual",19308,"Petrol",20,62.8,1
"A1",2017,15400,"Manual",15322,"Petrol",145,56.5,1.4
"A4",2016,15674,"Manual",24828,"Petrol",125,49.6,2
"Q2",2017,20495,"Automatic",36000,"Petrol",150,52.3,1.4
"Kodiaq",2019,29900,"Automatic",2633,"Petrol",150,31.4,2
"Aygo",2014,5500,"Manual",27569,"Petrol",0,69,1
"RAV4",2017,19990,"Automatic",39392,"Hybrid",135,57.6,2.5
"Combo Life",2019,16130,"Automatic",826,"Diesel",145,50.4,1.5
"Corsa",2019,8699,"Manual",15845,"Petrol",145,43.5,1.4
"A1",2019,18991,"Manual",6958,"Petrol",145,50.4,1
"Yaris",2016,10250,"Automatic",6000,"Petrol",30,58,1.3
"Mokka",2014,6700,"Manual",69909,"Diesel",30,62.8,1.7
"Yaris",2018,10498,"Manual",13859,"Petrol",150,58.9,1.5
"A1",2015,10498,"Manual",31393,"Petrol",30,57.6,1.4
"Scala",2019,14995,"Manual",5703,"Diesel",145,57.7,1.6
"Q2",2017,21250,"Automatic",16250,"Diesel",145,57.7,2
"Yaris",2015,9495,"Automatic",15083,"Petrol",30,58,1.3
"Aygo",2019,10791,"Manual",3589,"Petrol",145,56.5,1
"Superb",2018,19490,"Manual",10803,"Diesel",145,65.7,2
"Zafira",2017,10592,"Manual",32255,"Petrol",200,41.5,1.4
"Aygo",2017,6790,"Manual",32251,"Petrol",0,68.9,1
"TT",2016,17961,"Manual",38505,"Petrol",165,46.3,2
"Astra",2017,9998,"Manual",43400,"Diesel",20,72.4,1.6
"Yaris",2017,10495,"Manual",10360,"Petrol",30,55,1.3
"Insignia",2018,12785,"Manual",31615,"Diesel",145,65.7,1.6
"Mokka X",2017,11999,"Manual",35512,"Diesel",30,65.7,1.6
"Corsa",2019,10000,"Manual",5634,"Petrol",145,43.5,1.4
"A3",2017,15395,"Manual",45324,"Petrol",30,60.1,1.4
"Karoq",2018,14406,"Manual",29174,"Petrol",145,53.3,1
"Astra",2014,6895,"Manual",29754,"Diesel",125,58.9,2
"Q5",2019,33000,"Semi-Auto",10949,"Diesel",145,38.2,2
"Yaris",2019,13458,"Automatic",3456,"Petrol",145,47.9,1.5
"A4",2018,16300,"Semi-Auto",46415,"Petrol",145,51.4,1.4
"Aygo",2020,9990,"Manual",500,"Petrol",145,56.5,1
"Yaris",2018,12000,"Automatic",37481,"Hybrid",135,76.3,1.5
"Aygo",2014,4290,"Manual",31010,"Petrol",0,65.7,1
"A1",2016,14995,"Manual",13961,"Petrol",30,58.9,1.4
"Mokka X",2019,16794,"Manual",10,"Petrol",145,39.2,1.4
"Q7",2019,46000,"Semi-Auto",10816,"Diesel",145,32.8,3
"Superb",2019,24490,"Automatic",15,"Petrol",145,38.2,2
"Prius",2016,18690,"Automatic",23300,"Hybrid",0,85.6,1.8
"Corsa",2018,8995,"Manual",2590,"Petrol",145,55.4,1.4
"A5",2020,32995,"Semi-Auto",2000,"Diesel",145,48.7,2
"Corsa",2015,5997,"Manual",39856,"Petrol",125,53.3,1.2
"A5",2019,25998,"Semi-Auto",24608,"Petrol",145,39.8,2
"Yaris",2017,8998,"Manual",32009,"Petrol",145,65.7,1
"Mokka X",2019,15399,"Semi-Auto",11341,"Diesel",150,47.1,1.6
"Corsa",2020,17498,"Manual",10,"Petrol",150,52.3,1.2
"Corsa",2017,7788,"Manual",16215,"Petrol",145,55.4,1.4
"A1",2019,19500,"Manual",4100,"Petrol",150,47.9,1
"A4",2016,10695,"Manual",97150,"Diesel",20,72.4,2
"Q2",2017,16495,"Manual",18045,"Petrol",145,55.4,1
"Mokka X",2019,13990,"Manual",13202,"Petrol",145,39.2,1.4
"Q5",2019,30950,"Automatic",6107,"Diesel",145,39.2,2
"Astra",2016,11200,"Manual",21891,"Petrol",125,51.4,1.4
"Corsa",2017,7995,"Manual",12529,"Petrol",30,55.4,1.4
"A1",2019,21560,"Semi-Auto",7439,"Petrol",145,40.9,2
"Q3",2019,27888,"Manual",2054,"Diesel",145,42.8,2
"Corsa",2016,7099,"Manual",29626,"Petrol",30,54.3,1.4
"A3",2016,18500,"Automatic",33391,"Petrol",200,42.8,1.8
"Astra",2017,8699,"Manual",21883,"Petrol",145,52.3,1.4
"Mokka X",2019,12698,"Manual",7952,"Petrol",145,39.2,1.4
"A4",2017,19750,"Semi-Auto",9806,"Petrol",30,54.2424237219911,2
"Astra",2020,15690,"Manual",100,"Petrol",145,54.3,1.2
"Q5",2015,22797,"Semi-Auto",39378,"Diesel",265,41.5,3
"Astra",2019,14775,"Manual",10,"Diesel",145,58.9,1.6
"A4",2019,29985,"Automatic",22,"Petrol",145,38.7,2
"Yaris",2017,8888,"Manual",21692,"Petrol",30,58,1.3
"Q7",2019,41718,"Semi-Auto",5745,"Diesel",150,33.6,3
"GTC",2015,8998,"Manual",25100,"Petrol",160,47.1,1.4
"Prius",2020,31995,"Automatic",100,"Hybrid",135,217.3,1.8
"Q3",2016,21000,"Semi-Auto",21500,"Diesel",145,54.3,2
"Aygo",2017,6800,"Manual",31851,"Petrol",0,68.9,1
"Aygo",2016,5999,"Manual",23887,"Petrol",0,69,1
"A1",2018,12996,"Manual",18876,"Petrol",145,55.4,1.4
"Mokka X",2018,12000,"Manual",16000,"Petrol",145,42.2,1.6
"Q3",2019,30000,"Automatic",3033,"Petrol",150,38.2,1.5
"Adam",2014,5999,"Manual",44499,"Petrol",125,53.3,1.2
"Auris",2015,11998,"Automatic",60501,"Hybrid",0,76.4,1.8
"Zafira",2014,6799,"Manual",78900,"Diesel",145,53.3,2
"Aygo",2013,4325,"Manual",25454,"Petrol",0,65.7,1
"Q5",2019,33000,"Automatic",9843,"Diesel",145,38.2,2
"Grandland X",2019,19985,"Automatic",6629,"Diesel",145,57.7,1.5
"Q5",2018,32350,"Automatic",13558,"Diesel",150,48.7,3
"Fabia",2017,9500,"Manual",14536,"Petrol",20,58.9,1.2
"A5",2017,20498,"Manual",36396,"Diesel",145,65.7,2
"Q3",2015,16490,"Semi-Auto",45521,"Diesel",160,51.4,2
"Yaris",2018,10500,"Manual",18595,"Petrol",145,58.9,1.5
"Grandland X",2018,14499,"Manual",8886,"Petrol",145,55.4,1.2
"Land Cruiser",2017,31495,"Semi-Auto",30071,"Diesel",300,38.2,2.8
"Aygo",2018,8265,"Manual",8910,"Petrol",150,68.9,1
"Yeti",2016,10747,"Semi-Auto",20967,"Petrol",125,51.4,1.2
"Octavia",2017,10700,"Manual",38552,"Petrol",150,55.4,0
"Auris",2017,18379,"Automatic",9596,"Hybrid",0,70.6,1.8
"Corsa",2017,10999,"Automatic",16365,"Petrol",145,47.1,1.4
"Q3",2020,29000,"Manual",20,"Petrol",145,40.9,1.5
"Corsa",2016,9995,"Automatic",19170,"Petrol",145,47.9,1.4
"Astra",2018,12995,"Semi-Auto",30800,"Diesel",145,57.7,1.6
"Mokka X",2019,13845,"Manual",9953,"Petrol",145,39.2,1.4
"Mokka",2015,9896,"Automatic",26644,"Petrol",160,43.5,1.4
"Fabia",2017,10385,"Semi-Auto",27093,"Petrol",145,61.4,1
"Aygo",2019,8790,"Manual",3116,"Petrol",145,56.5,1
"Aygo",2018,9299,"Manual",10845,"Petrol",145,68.9,1
"Corsa",2003,590,"Manual",82000,"Petrol",160,44.8,1.2
"Q2",2017,20479,"Semi-Auto",10894,"Petrol",145,52.3,1.4
"Fabia",2017,9995,"Manual",15000,"Petrol",20,58.9,1.2
"A3",2016,18000,"Automatic",34222,"Petrol",30,56.5,1.4
"A5",2019,36990,"Automatic",2500,"Petrol",145,38.7,2
"Karoq",2019,27500,"Automatic",3800,"Diesel",150,42.8,2
"A3",2017,14550,"Manual",17372,"Diesel",20,70.6,1.6
"Octavia",2019,12498,"Semi-Auto",26497,"Diesel",150,72.4,1.6
"A3",2015,12201,"Manual",51607,"Petrol",30,55.4,1.4
"Q3",2017,15749,"Manual",23191.7500335579,"Petrol",145,51.4,1.4
"Yaris",2019,12990,"Automatic",6817,"Petrol",145,47.9,1.5
"Corsa",2017,7698,"Manual",35688,"Petrol",150,54.3,1.4
"Avensis",2016,11495,"Manual",29210,"Petrol",145,47.1,1.8
"A3",2013,11699,"Automatic",37274,"Diesel",30,64.2,2
"GTC",2016,9965,"Manual",22351,"Petrol",165,47.1,1.4
"TT",2013,9397,"Manual",37856,"Petrol",205,43.5,1.8
"Corsa",2020,16998,"Manual",10,"Petrol",145,52.3,1.2
"Yaris",2018,10684,"Manual",9321,"Petrol",145,58.9,1.5
"Crossland X",2019,14995,"Manual",2300,"Petrol",150,47.1,1.2
"Corsa",2019,10999,"Manual",2011,"Petrol",145,43.5,1.4
"Octavia",2019,16495,"Semi-Auto",4206,"Petrol",145,55.4,1.5
"A1",2016,12995,"Manual",30123,"Petrol",30,56.5,1.4
"Superb",2019,19798,"Semi-Auto",8313,"Petrol",145,36.7,1.5
"Q3",2016,19000,"Manual",19821,"Diesel",165,49.6,2
"A1",2017,11990,"Manual",26994,"Diesel",0,76.3,1.6
"Corsa",2016,8998,"Automatic",30439,"Petrol",145,47.9,1.4
"Mokka",2017,14995,"Manual",5592,"Petrol",145,47.1,1.4
"Aygo",2017,7695,"Manual",12847,"Petrol",145,69,1
"Corsa",2018,8490,"Manual",15506,"Petrol",145,55.4,1.4
"Crossland X",2018,11200,"Manual",16358,"Petrol",145,54.3,1.2
"Scala",2020,16495,"Manual",500,"Petrol",150,50.4,1
